mm0px-efhw	QRP EFHW	MM0PX	antenna	40m,20m,15m,10m			pocket		QRP end-fed half-wave antenna for lightweight portable operation	mm0px efhw	BNC female
explorer-pota20-mast	POTA20 Carbon Fiber Mast	Explorer	accessory				backpack	400	20-foot collapsible carbon fiber telescoping mast for portable antenna deployment	pota20 mast,explorer mast,pota20
umpp1	UMPP-1	GM0EUL	key				pocket		Ultra-miniature precision iambic paddle with CNC construction	umpp1,umpp-1,gm0eul paddle			3.5mm TRS
cwmorse-pocket-paddle	Pocket Paddle	CW Morse	key				pocket		Ultra-compact iambic paddle for portable CW operation	cw morse pocket paddle			3.5mm TRS
cwmorse-outdoor-double	Outdoor Double Paddle	CW Morse	key				portable		Double paddle with heavy steel base for outdoor field use	cw morse outdoor,outdoor double paddle			3.5mm TRS
cwmorse-cnc-aluminum	CNC Machined Aluminum Paddle	CW Morse	key				portable		Premium CNC-machined aluminum iambic paddle	cw morse cnc,cnc aluminum paddle			3.5mm TRS
cwmorse-tsl1	TSL1 Single Lever	CW Morse	key				portable		Single-lever paddle for cootie/sideswiper-style CW sending	tsl1,tsl-1,cw morse tsl1			3.5mm TRS
n6ara-tinypaddle	TinyPaddle	N6ARA	key				pocket		Miniature precision iambic paddle	n6ara tinypaddle,tinypaddle,tiny paddle			3.5mm TRS
vk3il-pressure-paddle	Pressure Paddle V2	VK3IL	key				pocket		Pressure-sensitive iambic paddle with no moving parts	vk3il paddle,pressure paddle v2			3.5mm TRS
n0sa-rlp-v2	RLP V2	N0SA / CW Morse	key				pocket		Small-production precision portable paddle	n0sa rlp,rlp v2,n0sa rlp v2			3.5mm TRS
wb9cyy-bug-emulator	Bug Emulator	WB9CYY	key				portable		Electronic bug emulator paddle that simulates semi-automatic bug key feel	wb9cyy bug,bug emulator			3.5mm TRS
k8ces-zippy	Zippy Paddle	K8CES	key				pocket		Compact portable iambic paddle	zippy,k8ces zippy,zippy paddle			3.5mm TRS
